# ROPlayerController  maxHandle=531
   h  class                  kind name                               type                   netindex
 377  ROPlayerController     func ServerGunshipStrike                (rpc)                  ni=16832
 378  ROPlayerController     func ServerBombingRun                   (rpc)                  ni=16841
 379  ROPlayerController     func ServerClearArtyInfo                (rpc)                  ni=16881
 380  ROPlayerController     func ServerRequestAntiAir               (rpc)                  ni=16885
 381  ROPlayerController     func ServerEnableAntiAir                (rpc)                  ni=16893
 382  ROPlayerController     func ServerSaveArtilleryPosition        (rpc)                  ni=16909
 383  ROPlayerController     func ServerSaveArtilleryRequestPosition (rpc)                  ni=16925
 384  ROPlayerController     func ServerSetStrikeDirection           (rpc)                  ni=16930
 385  ROPlayerController     func ServerRequestAerialRecon           (rpc)                  ni=16937
 386  ROPlayerController     func ServerRequestEnhancedLogistics     (rpc)                  ni=16971
 387  ROPlayerController     func UpdateELCounter                    (rpc)                  ni=16986
 388  ROPlayerController     func ServerTriggerForwardScouts         (rpc)                  ni=16989
 389  ROPlayerController     func UpdateClientHUDOnPosses            (rpc)                  ni=17041
 390  ROPlayerController     func ClientSpawned                      (rpc)                  ni=17048
 391  ROPlayerController     func ClientCountdownWaitingToPossess    (rpc)                  ni=17068
 392  ROPlayerController     func ShowInitialWorldWidget             (rpc)                  ni=17079
 393  ROPlayerController     func ShowObjectiveCapturedWorldWidget   (rpc)                  ni=17080
 394  ROPlayerController     func ServerThrowMGAmmo                  (rpc)                  ni=17087
 395  ROPlayerController     func ShowScuttleMessage                 (rpc)                  ni=17089
 396  ROPlayerController     func ServerScuttleTank                  (rpc)                  ni=17093
 397  ROPlayerController     func ServerBroadcastLocalizedTeamVoiceCom (rpc)                  ni=17115
 398  ROPlayerController     func ServerBroadcastLocalizedSquadVoiceCom (rpc)                  ni=17121
 399  ROPlayerController     func ServerBroadcastLocalizedVoiceComToSquadLeaders (rpc)                  ni=17127
 400  ROPlayerController     func ServerBroadcastLocalizedFireTeamVoiceCom (rpc)                  ni=17134
 401  ROPlayerController     func ServerBroadcastLocalizedVehicleVoiceCom (rpc)                  ni=17140
 402  ROPlayerController     func ReceiveLocalizedVoiceCom           (rpc)                  ni=17153
 403  ROPlayerController     func SetOtherTeamStartTime              (rpc)                  ni=17183
 404  ROPlayerController     func ClientPauseWwise                   (rpc)                  ni=17209
 405  ROPlayerController     func ForceEscapeSceneUpdate             (rpc)                  ni=17251
 406  ROPlayerController     func ClearKickedRoles                   (rpc)                  ni=17252
 407  ROPlayerController     func ServerForceDriverLeave             (rpc)                  ni=17257
 408  ROPlayerController     func SetRoleKick                        (rpc)                  ni=17259
 409  ROPlayerController     func ForceVoteCooldown                  (rpc)                  ni=17266
 410  ROPlayerController     func ShowKickVoteStartedMessage         (rpc)                  ni=17274
 411  ROPlayerController     func ShowKickVoteResultMessage          (rpc)                  ni=17281
 412  ROPlayerController     func CloseEscapeMenu                    (rpc)                  ni=17282
 413  ROPlayerController     func ClientShowMapVotingMenu            (rpc)                  ni=17284
 414  ROPlayerController     func HandleKicked                       (rpc)                  ni=17298
 415  ROPlayerController     func AddStatsKill                       (rpc)                  ni=17313
 416  ROPlayerController     func AddStatsDeath                      (rpc)                  ni=17314
 417  ROPlayerController     func PlayTimeEventSound                 (rpc)                  ni=17331
 418  ROPlayerController     func ServerSetSelectedArtyIndex         (rpc)                  ni=17336
 419  ROPlayerController     func ClientShowRespawnWarning           (rpc)                  ni=17341
 420  ROPlayerController     func ServerDriveHelo                    (rpc)                  ni=17360
 421  ROPlayerController     func ServerSetFreeLooking               (rpc)                  ni=17378
 422  ROPlayerController     func ServerSetMouseTurnMode             (rpc)                  ni=17383
 423  ROPlayerController     func ServerSetAdvancedFlightModel       (rpc)                  ni=17390
 424  ROPlayerController     func ClientAddTrap                      (rpc)                  ni=17418
 425  ROPlayerController     func ClientRemoveEarliestTrap           (rpc)                  ni=17419
 426  ROPlayerController     func ClientRemovePlantedTrap            (rpc)                  ni=17421
 427  ROPlayerController     func ClientClearTraps                   (rpc)                  ni=17422
 428  ROPlayerController     func ClientAddCharge                    (rpc)                  ni=17424
 429  ROPlayerController     func ClientRemoveCharge                 (rpc)                  ni=17432
 430  ROPlayerController     func ClientClearAllCharges              (rpc)                  ni=17433
 431  ROPlayerController     func ClientFlashTrapIndicator           (rpc)                  ni=17450
 432  ROPlayerController     func ClientFlashTunnelIndicator         (rpc)                  ni=17451
 433  ROPlayerController     func SetClientDeathSoundMode            (rpc)                  ni=17463
 434  ROPlayerController     func ServerSetReadyToSpawn              (rpc)                  ni=17466
 435  ROPlayerController     func UpdateVictoryStatus                (rpc)                  ni=17471
 436  ROPlayerController     func ServerSaveLZMarkerPosition         (rpc)                  ni=17477
 437  ROPlayerController     func ClientSetHeloADFLocation           (rpc)                  ni=17480
 438  ROPlayerController     func ShowHeloDespawnMessage             (rpc)                  ni=17482
 439  ROPlayerController     func ShowStartHeloDespawnMessage        (rpc)                  ni=17483
 440  ROPlayerController     func ServerHeloDespawn                  (rpc)                  ni=17487
 441  ROPlayerController     func ServerCancelHeloDespawn            (rpc)                  ni=17489
 442  ROPlayerController     func TriggerAmbushRespawn               (rpc)                  ni=17499
 443  ROPlayerController     func NorthPlayersWaitingToSpawn         (rpc)                  ni=17506
 444  ROPlayerController     func ServerJoinSquad                    (rpc)                  ni=17532
 445  ROPlayerController     func ServerLeaveSquad                   (rpc)                  ni=17536
 446  ROPlayerController     func ServerLockSquad                    (rpc)                  ni=17540
 447  ROPlayerController     func ServerPromoteToSL                  (rpc)                  ni=17546
 448  ROPlayerController     func ClientNotifySLPromoted             (rpc)                  ni=17548
 449  ROPlayerController     func ClientNotifySLDemoted              (rpc)                  ni=17550
 450  ROPlayerController     func ServerSetSquadName                 (rpc)                  ni=17556
 451  ROPlayerController     func ServerAutoSelectSquad              (rpc)                  ni=17566
 452  ROPlayerController     func ServerInvitePlayerToSquad          (rpc)                  ni=17572
 453  ROPlayerController     func ServerAttachPilotToSquad           (rpc)                  ni=17579
 454  ROPlayerController     func ServerDetachPilotFromSquad         (rpc)                  ni=17583
 455  ROPlayerController     func HandleSquadInvite                  (rpc)                  ni=17588
 456  ROPlayerController     func ServerKickFromSquad                (rpc)                  ni=17594
 457  ROPlayerController     func ClientGiveSquadOrdersToPrompt      (rpc)                  ni=17597
 458  ROPlayerController     func ClientAddRequestPrompt             (rpc)                  ni=17599
 459  ROPlayerController     func ClientRemoveRequestPrompt          (rpc)                  ni=17601
 460  ROPlayerController     func ClientResetCachedVictimPromptName  (rpc)                  ni=17612
 461  ROPlayerController     func ServerUpdatePromptBoxTotalVotesNeeded (rpc)                  ni=17615
 462  ROPlayerController     func ClientUpdatePromptBoxVotesNeeded   (rpc)                  ni=17617
 463  ROPlayerController     func UpdatePromptBoxVotes               (rpc)                  ni=17620
 464  ROPlayerController     func ResetVictimPRILocalKickVoteFlag    (rpc)                  ni=17631
 465  ROPlayerController     func ClientNotifyTeamKill               (rpc)                  ni=17646
 466  ROPlayerController     func ServerForgiveTeamKiller            (rpc)                  ni=17650
 467  ROPlayerController     func NotifyClientSwappedTeam            (rpc)                  ni=17718
 468  ROPlayerController     func ClientCloseAllScenes               (rpc)                  ni=17719
 469  ROPlayerController     func ClientSetMaxTeamSwapWaitingTime    (rpc)                  ni=17721
 470  ROPlayerController     func UnhideMessageWidget                (rpc)                  ni=17722
 471  ROPlayerController     func ClientShowLobby                    (rpc)                  ni=17723
 472  ROPlayerController     func ClientCancelWaitingAllSwitchedTeamMessage (rpc)                  ni=17728
 473  ROPlayerController     func ServerMemberSetAlias               (rpc)                  ni=17750
 474  ROPlayerController     func ServerMemberDeleteAlias            (rpc)                  ni=17754
 475  ROPlayerController     func ServerMemberAdminSignIn            (rpc)                  ni=17760
 476  ROPlayerController     func ServerMembersDebugLevel            (rpc)                  ni=17769
 477  ROPlayerController     func LogDebugDamage                     (rpc)                  ni=17773
 478  ROPlayerController     func ServerSetDamageDebug               (rpc)                  ni=17776
 479  ROPlayerController     func PlayRadioSquelch                   (rpc)                  ni=17777
 480  ROPlayerController     func ShowBleedingStatusNoBandages       (rpc)                  ni=17799
 481  ROPlayerController     func ShowBleedingStatusWithBandages     (rpc)                  ni=17801
 482  ROPlayerController     func UpdateBleedingStatusNoBandages     (rpc)                  ni=17803
 483  ROPlayerController     func UpdateBleedingStatusWithBandages   (rpc)                  ni=17805
 484  ROPlayerController     func EndBleedingStatus                  (rpc)                  ni=17806
 485  ROPlayerController     func SetRoleVotedForPilotData           (rpc)                  ni=17807
 486  ROPlayerController     func ResetRoleVotedTracking             (rpc)                  ni=17808
 487  ROPlayerController     func ServerMuteAllPlayersByTeam         (rpc)                  ni=17821
 488  ROPlayerController     func ClientMuteAllPlayersByTeam         (rpc)                  ni=17826
 489  ROPlayerController     func ServerUnMuteAllPlayersByTeam       (rpc)                  ni=17835
 490  ROPlayerController     func ClientUnMuteAllPlayers             (rpc)                  ni=17844
 491  ROPlayerController     func ServerSetArtyMarkStatusBits        (rpc)                  ni=17893
 492  ROPlayerController     func ToggleMapBoundsSoundMode           (rpc)                  ni=17904
 493  ROPlayerController     func ServerForceMuteStatusOnPlayerForAll (rpc)                  ni=17914
 494  ROPlayerController     func ServerReportedToxicPlayer          (rpc)                  ni=17918
 495  ROPlayerController     func ClientUpdateLastPlaceAmmoCrateTime (rpc)                  ni=17930
 496  ROPlayerController     func ResetTeamSwapDelay                 (rpc)                  ni=17934
 497  ROPlayerController     func DisableTeamSelectButtons           (rpc)                  ni=17935
 498  ROPlayerController     func ClientReEnableTeamSelectButtons    (rpc)                  ni=17937
 499  ROPlayerController     func SendBytesToClient16                (rpc)                  ni=17947
 500  ROPlayerController     func SendBytesToClient32                (rpc)                  ni=17950
 501  ROPlayerController     func SendBytesToClient48                (rpc)                  ni=17953
 502  ROPlayerController     func SendBytesToClient64                (rpc)                  ni=17956
 503  ROPlayerController     func SendBytesToClient80                (rpc)                  ni=17959
 504  ROPlayerController     func SendBytesToClient96                (rpc)                  ni=17962
 505  ROPlayerController     func SendBytesToClient112               (rpc)                  ni=17965
 506  ROPlayerController     func SendBytesToClient128               (rpc)                  ni=17968
 507  ROPlayerController     func SendBytesToClient144               (rpc)                  ni=17971
 508  ROPlayerController     func SendBytesToClient160               (rpc)                  ni=17974
 509  ROPlayerController     func SendBytesToClient176               (rpc)                  ni=17977
 510  ROPlayerController     func SendBytesToClient192               (rpc)                  ni=17980
 511  ROPlayerController     func SendBytesToClient208               (rpc)                  ni=17983
 512  ROPlayerController     func SendBytesToClient224               (rpc)                  ni=17986
 513  ROPlayerController     func SendBytesToClient240               (rpc)                  ni=17989
 514  ROPlayerController     func SendBytesToClient256               (rpc)                  ni=17992
 515  ROPlayerController     func SendBytesToServer16                (rpc)                  ni=17995
 516  ROPlayerController     func SendBytesToServer32                (rpc)                  ni=17998
 517  ROPlayerController     func SendBytesToServer48                (rpc)                  ni=18001
 518  ROPlayerController     func SendBytesToServer64                (rpc)                  ni=18004
 519  ROPlayerController     func SendBytesToServer80                (rpc)                  ni=18007
 520  ROPlayerController     func SendBytesToServer96                (rpc)                  ni=18010
 521  ROPlayerController     func SendBytesToServer112               (rpc)                  ni=18013
 522  ROPlayerController     func SendBytesToServer128               (rpc)                  ni=18016
 523  ROPlayerController     func SendBytesToServer144               (rpc)                  ni=18019
 524  ROPlayerController     func SendBytesToServer160               (rpc)                  ni=18022
 525  ROPlayerController     func SendBytesToServer176               (rpc)                  ni=18025
 526  ROPlayerController     func SendBytesToServer192               (rpc)                  ni=18028
 527  ROPlayerController     func SendBytesToServer208               (rpc)                  ni=18031
 528  ROPlayerController     func SendBytesToServer224               (rpc)                  ni=18034
 529  ROPlayerController     func SendBytesToServer240               (rpc)                  ni=18037
 530  ROPlayerController     func SendBytesToServer256               (rpc)                  ni=18040
